Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
11:54:29:19.804,61,0.0182390027,0.1126266047,0.0544237606,0.0000000000,0.0000000000,0.0492073074,0.0000000000,0.0184993520,0.1126226410,0.0626601055,0.0000000000,0.0000000000,0.0492055379,0.0000000000,0.0086282734,0.0069826529,0.0000000000,0.0152122928,0.0190521292,0.0122395223,0.0484295152,0.0000000000,0.0330241732,0.0240318440,0.0877640620,0.0000000000,0.0000000000,0.0076385094,0.0082660848,0.0270072967,0.0272899829,0.0160105191,0.0179545302,0.0539737977,0.0303745233,0.0216923337,0.0234204177,0.0196970906,0.0181558393,0.0047733900,0.0057865656,0.0592719503,0.0595941171,0.0155718960,0.0000000000,0.0000000000,0.0144077558,0.0194894280,0.0220976323,0.0449737906,0.0477803946,0.0000000461,0.0000000000,0.0000000000,0.0000000000,-0.0381863005,0.0688475519,-0.0026325486,0.0331669003,0.0688375905,0.0022863199
11:54:29:20.805,61,0.0183787327,0.1115453616,0.0554436184,0.0000000000,0.0000000000,0.0490047596,0.0000000000,0.0186364688,0.1115468815,0.0615662597,0.0000000000,0.0000000000,0.0490029454,0.0000000000,0.0086275171,0.0068926085,0.0000000000,0.0151998568,0.0190377068,0.0122616952,0.0484310426,0.0000000000,0.0325401798,0.0243850853,0.0876981542,0.0000000000,0.0000000000,0.0076296269,0.0082485909,0.0270160474,0.0272767637,0.0160069745,0.0179153495,0.0540641248,0.0304472186,0.0217049140,0.0234248322,0.0196809713,0.0181275271,0.0047971429,0.0058034575,0.0589504801,0.0592670776,0.0155705251,0.0000000000,0.0000000000,0.0143816695,0.0195063259,0.0220734850,0.0449842364,0.0477594584,0.0000000458,0.0000000000,0.0000000000,0.0000000000,-0.0375213735,0.0681881979,-0.0025618805,0.0337899514,0.0681781545,0.0023068697
11:54:29:21.806,61,0.0184195396,0.1114634946,0.0562033653,0.0000000000,0.0000000000,0.0487521365,0.0000000000,0.0186779182,0.1114687398,0.0608054362,0.0000000000,0.0000000000,0.0487502962,0.0000000000,0.0086122062,0.0068787416,0.0000000000,0.0151877012,0.0190178100,0.0122304037,0.0483013615,0.0000000000,0.0321213454,0.0246337987,0.0877852440,0.0000000000,0.0000000000,0.0076190378,0.0082315942,0.0270190760,0.0272497647,0.0159923825,0.0178564545,0.0540491752,0.0304611679,0.0216398705,0.0233520810,0.0196411610,0.0180783663,0.0048104012,0.0058115050,0.0582614876,0.0585662834,0.0155962044,0.0000000000,0.0000000000,0.0143080978,0.0194998514,0.0220375359,0.0449002683,0.0476623140,0.0000000468,0.0000000000,0.0000000000,0.0000000000,-0.0370578170,0.0681392327,-0.0025284223,0.0342530943,0.0681291968,0.0023367919
11:54:29:22.808,61,0.0184890181,0.1108364239,0.0572322011,0.0000000000,0.0000000000,0.0486271493,0.0000000000,0.0187618639,0.1108468175,0.0597599372,0.0000000000,0.0000000000,0.0486252233,0.0000000000,0.0086202649,0.0067960653,0.0000000000,0.0152267748,0.0190692414,0.0122482367,0.0480101965,0.0000000000,0.0325945877,0.0247095656,0.0897309929,0.0000000000,0.0000000000,0.0076478771,0.0082748756,0.0270921364,0.0273655225,0.0160092060,0.0178256705,0.0540340170,0.0304804798,0.0215731096,0.0232854113,0.0196921825,0.0181347467,0.0048384699,0.0058581312,0.0580378696,0.0583583862,0.0156659354,0.0000000000,0.0000000000,0.0142439036,0.0195461046,0.0221173577,0.0448668078,0.0477123223,0.0000000451,0.0000000000,0.0000000000,0.0000000000,-0.0364215784,0.0677574724,-0.0024710668,0.0348810218,0.0677473843,0.0023662357
11:54:29:23.810,61,0.0216996297,0.1100069955,0.0580327995,0.0000000000,0.0000000000,0.0487394556,0.0000000000,0.0221351478,0.1100214571,0.0589237437,0.0000000000,0.0000000000,0.0487373136,0.0000000000,0.0086483285,0.0066963360,0.0000000000,0.0152912894,0.0191497188,0.0123559451,0.0478142090,0.0000000000,0.0354116783,0.0244620237,0.0918561667,0.0000000000,0.0000000000,0.0076828478,0.0083357012,0.0271511655,0.0275007226,0.0160641931,0.0178444590,0.0541409925,0.0305654388,0.0216384139,0.0233711302,0.0197841749,0.0182398185,0.0048669199,0.0059189056,0.0578970574,0.0582466573,0.0157123897,0.0000000000,0.0000000000,0.0142878424,0.0196326096,0.0222804397,0.0448528677,0.0478635244,0.0000000497,0.0000000000,0.0000000000,0.0000000000,-0.0359131694,0.0672517046,-0.0024183451,0.0353701822,0.0672415718,0.0023814363
11:54:29:24.811,61,0.0254610647,0.1089249924,0.0580780804,0.0000000000,0.0000000000,0.0496282242,0.0000000000,0.0259294715,0.1089398488,0.0588844419,0.0000000000,0.0000000000,0.0496252999,0.0000000000,0.0087276557,0.0066250688,0.0000000000,0.0154070472,0.0193061680,0.0126243588,0.0477702692,0.0000000000,0.0369742140,0.0240264740,0.0927647129,0.0000000000,0.0000000000,0.0077361893,0.0084180096,0.0272757951,0.0277026072,0.0161643717,0.0179801583,0.0542764813,0.0306259580,0.0218504351,0.0236080233,0.0200672802,0.0185185596,0.0048999093,0.0059836893,0.0631640106,0.0635837242,0.0157354064,0.0000000000,0.0000000000,0.0144509394,0.0198024344,0.0225238018,0.0451293066,0.0483210199,0.0000000678,0.0000000000,0.0000000000,0.0000000000,-0.0358908027,0.0665905252,-0.0023930082,0.0353993401,0.0665802732,0.0023598892
11:54:29:25.813,61,0.0268981289,0.1085436493,0.0583739020,0.0000000000,0.0000000000,0.0500414632,0.0000000000,0.0273805931,0.1085599586,0.0585885942,0.0000000000,0.0000000000,0.0500382446,0.0000000000,0.0087316940,0.0065056127,0.0000000000,0.0154035222,0.0193108544,0.0127274888,0.0476461686,0.0000000000,0.0375731029,0.0234250594,0.0926957950,0.0000000000,0.0000000000,0.0077226344,0.0084142080,0.0272530131,0.0277232453,0.0161153357,0.0180160068,0.0542045385,0.0305838529,0.0219400823,0.0237111840,0.0201111697,0.0185645744,0.0048923381,0.0059850928,0.0640524328,0.0644905940,0.0156351551,0.0000000000,0.0000000000,0.0144951325,0.0197984949,0.0225396082,0.0452494510,0.0485302880,0.0000001405,0.0000000000,0.0000000000,0.0000000000,-0.0357110426,0.0663578734,-0.0023726842,0.0355801955,0.0663475990,0.0023636273
11:54:29:26.814,61,0.0272024255,0.1073157415,0.0595716611,0.0000000000,0.0000000000,0.0502401330,0.0000000000,0.0276944451,0.1073379144,0.0573503971,0.0000000000,0.0000000000,0.0502367988,0.0000000000,0.0087338611,0.0064918185,0.0000000000,0.0153524447,0.0192436036,0.0126722530,0.0475361347,0.0000000000,0.0377437994,0.0229106043,0.0925289243,0.0000000000,0.0000000000,0.0076771369,0.0083705755,0.0272319727,0.0277265850,0.0160643067,0.0179529563,0.0541571267,0.0305863786,0.0219117180,0.0236965138,0.0200286340,0.0184875540,0.0048854169,0.0059836744,0.0632883310,0.0637870133,0.0155791296,0.0000000000,0.0000000000,0.0144765088,0.0197929051,0.0225579124,0.0452429317,0.0485939793,0.0000001420,0.0000000000,0.0000000000,0.0000000000,-0.0349580534,0.0656091571,-0.0022963930,0.0363120548,0.0655987710,0.0023849201
11:54:29:27.817,61,0.0269199703,0.1079610214,0.0599510521,0.0000000000,0.0000000000,0.0502286293,0.0000000000,0.0273493920,0.1079849526,0.0569633357,0.0000000000,0.0000000000,0.0502252690,0.0000000000,0.0087135788,0.0064802617,0.0000000000,0.0152883464,0.0191640127,0.0126075223,0.0473731495,0.0000000000,0.0373453312,0.0231996011,0.0924421698,0.0000000000,0.0000000000,0.0076553030,0.0083427113,0.0271640066,0.0276467763,0.0160274785,0.0179031771,0.0541758165,0.0306283832,0.0218768492,0.0236568134,0.0199546590,0.0184110943,0.0048897476,0.0059823240,0.0633194745,0.0638218001,0.0155518660,0.0000000000,0.0000000000,0.0144097758,0.0197647400,0.0225067437,0.0453362726,0.0486718416,0.0000001413,0.0000000000,0.0000000000,0.0000000000,-0.0347212180,0.0660041049,-0.0022946114,0.0365423709,0.0659937561,0.0024145332
11:54:29:28.818,61,0.0243899859,0.1100603417,0.0569354817,0.0000000000,0.0000000000,0.0500953980,0.0000000000,0.0246444866,0.1100694686,0.0600593127,0.0000000000,0.0000000000,0.0500919893,0.0000000000,0.0086379359,0.0063297688,0.0000000000,0.0151768140,0.0190124270,0.0124730896,0.0473616086,0.0000000000,0.0357221365,0.0244906545,0.0920437053,0.0000000000,0.0000000000,0.0076015554,0.0082709882,0.0269368365,0.0273865145,0.0159729104,0.0178451799,0.0541730411,0.0306761581,0.0217955653,0.0235571936,0.0198399927,0.0182890296,0.0048837024,0.0059609143,0.0663877428,0.0667339340,0.0154738454,0.0000000000,0.0000000000,0.0143368114,0.0196092557,0.0222794563,0.0453712754,0.0486208051,0.0000001161,0.0000000000,0.0000000000,0.0000000000,-0.0366052091,0.0672827512,-0.0024660672,0.0347012952,0.0672726035,0.0023375012
